Date;Month; Year ;Seguro_Desemprego;Abono_Salarial;Bolsa_Familia;Balance;President;Fiscal_deficit;Presidential_election
jan.94;1;1994;13059305.52;25872677.25;0.00;38931982.77;Itamar;0;0
fev.94;2;1994;-15401683.11;16600735.48;0.00;1199052.37;Itamar;0;0
mar.94;3;1994;5548762.15;28085120.91;0.00;33633883.06;Itamar;0;0
abr.94;4;1994;12455872.37;21465266.54;0.00;33921138.91;Itamar;0;0
mai.94;5;1994;15847627.45;21464242.28;0.00;37311869.73;Itamar;0;0
jun.94;6;1994;16150619.12;21464090.26;0.00;37614709.38;Itamar;0;0
jul.94;7;1994;33863948.85;21464090.25;0.00;55328039.10;Itamar;0;0
ago.94;8;1994;24300470.00;21464090.25;0.00;45764560.25;Itamar;0;0
set.94;9;1994;106695584.89;21464090.25;0.00;128159675.14;Itamar;0;0
out.94;10;1994;-21477117.87;0.00;0.00;-21477117.87;Itamar;1;1
nov.94;11;1994;51722093.71;156122542.44;0.00;207844636.15;Itamar;0;0
dez.94;12;1994;148855019.36;122019696.62;0.00;270874715.98;Itamar;0;0
jan.95;1;1995;12657517.16;41174304.54;0.00;53831821.70;FHC;0;0
fev.95;2;1995;77191874.04;129782137.58;0.00;206974011.62;FHC;0;0
mar.95;3;1995;83312479.49;157741205.86;0.00;241053685.35;FHC;0;0
abr.95;4;1995;118292332.03;145495286.30;0.00;263787618.33;FHC;0;0
mai.95;5;1995;313410828.84;132522073.04;0.00;445932901.88;FHC;0;0
jun.95;6;1995;188307505.14;132521420.11;0.00;320828925.25;FHC;0;0
jul.95;7;1995;174086758.31;132521420.11;0.00;306608178.42;FHC;0;0
ago.95;8;1995;334913306.37;132521420.11;0.00;467434726.48;FHC;0;0
set.95;9;1995;275475491.27;132090001.89;0.00;407565493.16;FHC;0;0
out.95;10;1995;377995666.98;0.00;0.00;377995666.98;FHC;0;0
nov.95;11;1995;377537573.90;250443500.00;0.00;627981073.90;FHC;0;0
dez.95;12;1995;336771911.30;230140955.02;0.00;566912866.32;FHC;0;0
jan.96;1;1996;45940336.85;183810543.39;0.00;229750880.24;FHC;0;0
fev.96;2;1996;21225028.26;140774009.02;0.00;161999037.28;FHC;0;0
mar.96;3;1996;207503995.43;118814999.93;0.00;326318995.36;FHC;0;0
abr.96;4;1996;83883147.29;106769008.12;0.00;190652155.41;FHC;0;0
mai.96;5;1996;87149156.48;114696641.00;0.00;201845797.48;FHC;0;0
jun.96;6;1996;66978199.77;115910476.99;0.00;182888676.76;FHC;0;0
jul.96;7;1996;140755354.24;116006270.80;0.00;256761625.04;FHC;0;0
ago.96;8;1996;69454831.01;0.00;0.00;69454831.01;FHC;0;0
set.96;9;1996;-3388269.13;0.00;0.00;-3388269.13;FHC;1;0
out.96;10;1996;179308728.43;166246947.65;0.00;345555676.08;FHC;0;0
nov.96;11;1996;195087107.83;251889999.25;0.00;446977107.08;FHC;0;0
dez.96;12;1996;66862527.27;202427136.85;0.00;269289664.12;FHC;0;0
jan.97;1;1997;196560958.75;120971424.47;0.00;317532383.22;FHC;0;0
fev.97;2;1997;230297039.12;40902057.43;0.00;271199096.55;FHC;0;0
mar.97;3;1997;208887074.81;129240669.57;0.00;338127744.38;FHC;0;0
abr.97;4;1997;183776952.62;114227537.83;0.00;298004490.45;FHC;0;0
mai.97;5;1997;54443025.12;179214680.23;0.00;233657705.35;FHC;0;0
jun.97;6;1997;100386955.52;131768627.49;0.00;232155583.01;FHC;0;0
jul.97;7;1997;108835960.92;131768214.67;0.00;240604175.59;FHC;0;0
ago.97;8;1997;97640499.51;131557609.81;0.00;229198109.32;FHC;0;0
set.97;9;1997;125687530.20;197642228.57;0.00;323329758.77;FHC;0;0
out.97;10;1997;96600555.58;190703553.06;0.00;287304108.64;FHC;0;0
nov.97;11;1997;121872003.93;273032606.34;0.00;394904610.27;FHC;0;0
dez.97;12;1997;154523465.53;121557674.06;0.00;276081139.59;FHC;0;0
jan.98;1;1998;198763365.69;28169585.34;0.00;226932951.03;FHC;0;0
fev.98;2;1998;236611366.16;71672142.06;0.00;308283508.22;FHC;0;0
mar.98;3;1998;428731941.36;48372852.18;0.00;477104793.54;FHC;0;0
abr.98;4;1998;317175494.43;40748440.08;0.00;357923934.51;FHC;0;0
mai.98;5;1998;285679848.14;25598640.39;0.00;311278488.53;FHC;0;0
jun.98;6;1998;600858930.42;24467058.25;0.00;625325988.67;FHC;0;0
jul.98;7;1998;118221435.52;24467058.25;0.00;142688493.77;FHC;0;0
ago.98;8;1998;190069204.61;134252674.40;0.00;324321879.01;FHC;0;0
set.98;9;1998;171491930.55;123045127.56;0.00;294537058.11;FHC;0;0
out.98;10;1998;147761805.99;182588022.32;0.00;330349828.31;FHC;0;1
nov.98;11;1998;163011395.18;105677295.72;0.00;268688690.90;FHC;0;0
dez.98;12;1998;212401967.82;40574650.76;0.00;252976618.58;FHC;0;0
jan.99;1;1999;124254650.97;70282922.22;0.00;194537573.19;FHC;0;0
fev.99;2;1999;210798483.47;24995778.08;0.00;235794261.55;FHC;0;0
mar.99;3;1999;240854145.99;69174756.80;0.00;310028902.79;FHC;0;0
abr.99;4;1999;248434889.78;47960136.68;0.00;296395026.46;FHC;0;0
mai.99;5;1999;292976366.91;47764349.90;0.00;340740716.81;FHC;0;0
jun.99;6;1999;363619055.14;47763068.60;0.00;411382123.74;FHC;0;0
jul.99;7;1999;164780369.82;47740249.91;0.00;212520619.73;FHC;0;0
ago.99;8;1999;141039369.13;115503606.23;0.00;256542975.36;FHC;0;0
set.99;9;1999;204100367.68;155368408.94;0.00;359468776.62;FHC;0;0
out.99;10;1999;188240232.85;59539817.07;0.00;247780049.92;FHC;0;0
nov.99;11;1999;162437203.66;4894059.87;0.00;167331263.53;FHC;0;0
dez.99;12;1999;174848797.24;29871725.04;0.00;204720522.28;FHC;0;0
jan.00;1;2000;213070593.96;37314969.42;0.00;250385563.38;FHC;0;0
fev.00;2;2000;207779822.29;47321163.52;0.00;255100985.81;FHC;0;0
mar.00;3;2000;258608866.57;22724013.78;0.00;281332880.35;FHC;0;0
abr.00;4;2000;25243472.87;71737139.33;0.00;96980612.20;FHC;0;0
mai.00;5;2000;42070340.06;71349020.28;0.00;113419360.34;FHC;0;0
jun.00;6;2000;104982792.88;71342407.35;0.00;176325200.23;FHC;0;0
jul.00;7;2000;92104158.72;121161228.95;0.00;213265387.67;FHC;0;0
ago.00;8;2000;78951777.71;65965516.64;0.00;144917294.35;FHC;0;0
set.00;9;2000;84504408.41;64413603.74;0.00;148918012.15;FHC;0;0
out.00;10;2000;54996086.58;69229517.10;0.00;124225603.68;FHC;0;0
nov.00;11;2000;52594426.21;1707155.00;0.00;54301581.21;FHC;0;0
dez.00;12;2000;116466474.37;11422097.91;0.00;127888572.28;FHC;0;0
jan.01;1;2001;123245551.54;29013091.39;0.00;152258642.93;FHC;0;0
fev.01;2;2001;15508863.16;82380648.65;0.00;97889511.81;FHC;0;0
mar.01;3;2001;111491328.96;45908540.37;0.00;157399869.33;FHC;0;0
abr.01;4;2001;15517748.61;18194798.99;0.00;33712547.60;FHC;0;0
mai.01;5;2001;177187410.59;18189534.79;0.00;195376945.38;FHC;0;0
jun.01;6;2001;43167047.16;18189734.53;0.00;61356781.69;FHC;0;0
jul.01;7;2001;-12582854.20;119668726.70;0.00;107085872.50;FHC;0;0
ago.01;8;2001;79824302.29;32936968.27;0.00;112761270.56;FHC;0;0
set.01;9;2001;106065959.80;-18569337.48;0.00;87496622.32;FHC;0;0
out.01;10;2001;44605395.67;30290691.52;0.00;74896087.19;FHC;0;0
nov.01;11;2001;143877783.56;-24798582.64;0.00;119079200.92;FHC;0;0
dez.01;12;2001;151298962.56;-22274239.12;0.00;129024723.44;FHC;0;0
jan.02;1;2002;-98832748.25;29541219.50;0.00;-69291528.75;FHC;1;0
fev.02;2;2002;95771546.37;16025909.26;0.00;111797455.63;FHC;0;0
mar.02;3;2002;-298703.42;67498124.26;0.00;67199420.84;FHC;0;0
abr.02;4;2002;-171492856.74;56012592.10;0.00;-115480264.64;FHC;1;0
mai.02;5;2002;87965466.54;52092669.54;0.00;140058136.08;FHC;0;0
jun.02;6;2002;-293879831.83;48805084.40;0.00;-245074747.43;FHC;1;0
jul.02;7;2002;126482193.26;166425554.12;0.00;292907747.38;FHC;0;0
ago.02;8;2002;213400169.58;119759345.96;0.00;333159515.54;FHC;0;0
set.02;9;2002;220558023.42;114393191.32;0.00;334951214.74;FHC;0;0
out.02;10;2002;290587584.44;155009079.22;0.00;445596663.66;FHC;0;1
nov.02;11;2002;242007439.29;22932098.88;0.00;264939538.17;FHC;0;1
dez.02;12;2002;261229771.75;51102534.26;0.00;312332306.01;FHC;0;0
jan.03;1;2003;310621705.75;30811189.26;0.00;341432895.01;Lula;0;0
fev.03;2;2003;208400854.86;52828755.49;0.00;261229610.35;Lula;0;0
mar.03;3;2003;114358739.97;34794448.21;0.00;149153188.18;Lula;0;0
abr.03;4;2003;30974355.85;42864289.97;0.00;73838645.82;Lula;0;0
mai.03;5;2003;267596005.37;27648712.53;0.00;295244717.90;Lula;0;0
jun.03;6;2003;104140287.63;4495575.73;0.00;108635863.36;Lula;0;0
jul.03;7;2003;53885556.85;129642185.35;0.00;183527742.20;Lula;0;0
ago.03;8;2003;179090184.02;57677121.38;0.00;236767305.40;Lula;0;0
set.03;9;2003;-236418128.33;-145108615.80;0.00;-381526744.13;Lula;1;0
out.03;10;2003;221024280.11;11226714.74;-10582143.54;221668851.31;Lula;0;0
nov.03;11;2003;95136043.46;-98593410.35;-13969215.39;-17426582.28;Lula;1;0
dez.03;12;2003;2481845.07;24714830.68;150933247.63;178129923.38;Lula;0;0
jan.04;1;2004;34674315.77;10849848.84;185231548.53;230755713.14;Lula;0;0
fev.04;2;2004;36988744.77;71202804.28;259289160.81;367480709.86;Lula;0;0
mar.04;3;2004;36225499.82;43059724.88;264747358.05;344032582.75;Lula;0;0
abr.04;4;2004;3574640.94;30236217.80;289261445.61;323072304.35;Lula;0;0
mai.04;5;2004;57706247.17;57064810.62;321756271.37;436527329.16;Lula;0;0
jun.04;6;2004;46793691.73;18878241.08;354624072.97;420296005.78;Lula;0;0
jul.04;7;2004;9247265.34;179734509.83;381542870.92;570524646.09;Lula;0;0
ago.04;8;2004;-160388160.42;-81424989.76;393890477.72;152077327.54;Lula;0;0
set.04;9;2004;-2719388.01;32209335.74;337331123.55;366821071.28;Lula;0;0
out.04;10;2004;62970520.63;-72999963.66;355829502.15;345800059.12;Lula;0;0
nov.04;11;2004;26588414.03;-264463749.50;397195318.68;159319983.21;Lula;0;0
dez.04;12;2004;107041525.98;66282007.64;122611301.22;295934834.84;Lula;0;0
jan.05;1;2005;130100204.35;48645625.63;335017669.84;513763499.82;Lula;0;0
fev.05;2;2005;15896798.37;36447177.25;408825903.69;461169879.31;Lula;0;0
mar.05;3;2005;39065767.50;90288861.51;262384041.04;391738670.05;Lula;0;0
abr.05;4;2005;-2833443.21;77670146.21;-39337998.81;35498704.19;Lula;0;0
mai.05;5;2005;-10413810.90;15661699.01;313743550.37;318991438.48;Lula;0;0
jun.05;6;2005;10568117.62;2217343.92;305258835.60;318044297.14;Lula;0;0
jul.05;7;2005;36857421.77;7768899.18;366518378.58;411144699.53;Lula;0;0
ago.05;8;2005;77848098.94;30582990.81;280752032.02;389183121.77;Lula;0;0
set.05;9;2005;104052067.32;23773677.60;215140833.50;342966578.42;Lula;0;0
out.05;10;2005;37643466.68;-8403686.81;196212131.53;225451911.40;Lula;0;0
nov.05;11;2005;111388563.05;-11737431.47;341244201.08;440895332.66;Lula;0;0
dez.05;12;2005;81704571.97;-2016667.78;282198358.55;361886262.74;Lula;0;0
jan.06;1;2006;190747034.34;7418225.79;293370859.14;491536119.27;Lula;0;0
fev.06;2;2006;38734329.33;11514018.73;267314459.74;317562807.80;Lula;0;0
mar.06;3;2006;768842.02;11845693.56;136318630.28;148933165.86;Lula;0;0
abr.06;4;2006;14365107.51;2841724.02;122849369.31;140056200.84;Lula;0;0
mai.06;5;2006;5231655.67;9381989.75;131879944.92;146493590.34;Lula;0;0
jun.06;6;2006;58492854.59;6595560.49;168920864.70;234009279.78;Lula;0;0
jul.06;7;2006;11813822.56;-9381106.27;165805537.98;168238254.27;Lula;0;0
ago.06;8;2006;14848194.60;7626309.81;13427084.22;35901588.63;Lula;0;0
set.06;9;2006;9709791.20;39376153.89;23787451.88;72873396.97;Lula;0;0
out.06;10;2006;99353879.03;108544611.83;139724300.82;347622791.68;Lula;0;1
nov.06;11;2006;33812970.71;-312002588.01;177071352.25;-101118265.05;Lula;1;1
dez.06;12;2006;304634531.87;161190034.30;265754571.11;731579137.28;Lula;0;0
jan.07;1;2007;140875989.07;87694252.15;161696730.56;390266971.78;Lula;0;0
fev.07;2;2007;15371906.28;69346944.31;85172990.10;169891840.69;Lula;0;0
mar.07;3;2007;88989143.10;52714410.52;115483045.38;257186599.00;Lula;0;0
abr.07;4;2007;-340160.79;35727592.48;121552406.74;156939838.43;Lula;0;0
mai.07;5;2007;9170846.71;19034981.02;181797921.65;210003749.38;Lula;0;0
jun.07;6;2007;108702746.24;5027902.33;160137018.74;273867667.31;Lula;0;0
jul.07;7;2007;130468099.48;4235253.60;156795058.81;291498411.89;Lula;0;0
ago.07;8;2007;45415349.23;99608856.52;64127266.51;209151472.26;Lula;0;0
set.07;9;2007;33407289.24;38960847.35;185274280.90;257642417.49;Lula;0;0
out.07;10;2007;159212840.83;67030627.06;147322695.85;373566163.74;Lula;0;0
nov.07;11;2007;93699691.12;146743865.98;145273769.10;385717326.20;Lula;0;0
dez.07;12;2007;355903207.95;113694154.46;163642665.57;633240027.98;Lula;0;0
jan.08;1;2008;182285896.74;12165061.74;161851494.20;356302452.68;Lula;0;0
fev.08;2;2008;224125788.74;3842592.85;170405222.71;398373604.30;Lula;0;0
mar.08;3;2008;160068023.92;6280110.37;78587288.25;244935422.54;Lula;0;0
abr.08;4;2008;70450813.96;4602284.97;152107830.56;227160929.49;Lula;0;0
mai.08;5;2008;202983349.41;2713730.07;152883612.96;358580692.44;Lula;0;0
jun.08;6;2008;146699545.18;14234538.93;159793487.23;320727571.34;Lula;0;0
jul.08;7;2008;165642877.26;8070511.67;89549031.49;263262420.42;Lula;0;0
ago.08;8;2008;43310488.33;268797121.60;201134756.73;513242366.66;Lula;0;0
set.08;9;2008;234372735.24;49645941.22;205642440.86;489661117.32;Lula;0;0
out.08;10;2008;335648236.03;161076374.52;171365037.51;668089648.06;Lula;0;0
nov.08;11;2008;55329967.63;80138002.73;230986166.84;366454137.20;Lula;0;0
dez.08;12;2008;102459785.49;75048541.07;203926031.80;381434358.36;Lula;0;0
jan.09;1;2009;76637728.73;3559368.33;201220010.76;281417107.82;Lula;0;0
fev.09;2;2009;85933032.95;3702406.08;164776974.36;254412413.39;Lula;0;0
mar.09;3;2009;225082979.14;6644273.14;219370285.07;451097537.35;Lula;0;0
abr.09;4;2009;123391609.42;682169.93;196061559.32;320135338.67;Lula;0;0
mai.09;5;2009;57824609.77;12782968.28;238850941.02;309458519.07;Lula;0;0
jun.09;6;2009;108455822.08;-1712636.64;206577686.95;313320872.39;Lula;0;0
jul.09;7;2009;36902344.86;421088839.35;189870968.59;647862152.80;Lula;0;0
ago.09;8;2009;74429883.41;24513026.55;211108100.13;310051010.09;Lula;0;0
set.09;9;2009;34777163.31;-24370196.95;263104672.31;273511638.67;Lula;0;0
out.09;10;2009;51585759.11;13847578.00;40530004.31;105963341.42;Lula;0;0
nov.09;11;2009;-61100372.42;-11755464.59;222375718.68;149519881.67;Lula;0;0
dez.09;12;2009;327101382.57;87308220.69;73635407.88;488045011.14;Lula;0;0
